Covidence #,REDCap ID,Study,Published Year,DOI
#839,103,Malvi 2024,2024,https://dx.doi.org/10.1093/jncimonographs/lgae042
#2417,104,Lasic 2025,2025,https://dx.doi.org/10.3390/vaccines13101050
#2491,105,Katz 2025,2025,https://dx.doi.org/10.1111/jop.70016
#843,106,Harfouch 2024,2024,https://dx.doi.org/10.1093/ofid/ofae662
#4047,107,Salman 2025,2025,https://dx.doi.org/10.1016/j.jogc.2025.102783
#3266,108,Abi-Raad 2025,2025,https://dx.doi.org/10.1016/j.jasc.2025.03.006
#4093,109,Kusters 2025,2025,https://dx.doi.org/10.1093/infdis/jiae455
#4106,110,Sambo 2025,2025,https://dx.doi.org/10.3390/diagnostics15020198
#3892,112,Carter 2025,2025,https://dx.doi.org/10.1016/j.vaccine.2025.126817
#4112,113,Falcaro 2025,2025,https://dx.doi.org/10.1016/j.lanepe.2024.101157
#3508,114,Henderson 2025,2025,https://dx.doi.org/10.1111/hiv.70001
#4113,115,Ikeda 2025,2025,https://dx.doi.org/10.1111/cas.16375
#4216,116,Nilyanimit 2024,2024,https://dx.doi.org/10.1080/21645515.2024.2392330
#3540,117,Simonetti 2025,2025,https://dx.doi.org/10.21873/anticanres.17578
#3418,118,Middeldorp 2025,2025,https://dx.doi.org/10.1016/j.lanepe.2025.101327
#4247,119,KaderlyRasmussen 2024,2024,https://dx.doi.org/10.1016/j.ypmed.2024.108165
#4390,120,Zha 2024,2024,https://dx.doi.org/10.3390/vaccines12111286
#3544,121,Panwar 2025,2025,https://dx.doi.org/10.1093/ofid/ofaf218
#4306,122,Delany-Moretlwe 2024,2024,https://dx.doi.org/10.1093/jncimonographs/lgae041
#4357,123,MoreiradosSantos 2024,2024,https://dx.doi.org/10.3389/fcimb.2024.1451308
#3658,124,Dominik 2025,2025,https://dx.doi.org/10.1038/s41598-025-92861-5
#3862,125,Quang 2025,2025,https://dx.doi.org/10.1038/s41467-025-57443-z
#3558,126,Gray 2025,2025,https://dx.doi.org/10.1093/infdis/jiaf032
#3792,127,Li 2025,2025,https://dx.doi.org/10.1080/21645515.2025.2469410
#3582,128,Palumbo 2025,2025,https://dx.doi.org/10.1016/j.ejogrb.2025.113994
#3427,129,Wheeler 2025,2025,https://dx.doi.org/10.1093/jnci/djae327
#3678,130,Hidalgo-Tenorio 2025,2025,https://dx.doi.org/10.1097/QAD.0000000000004113
#3334,131,Petras 2025,2025,https://dx.doi.org/10.1016/j.lanepe.2025.101337
#3714,132,Pereira 2025,2025,https://dx.doi.org/10.1177/09564624241310947
#3747,133,Beneteau 2025,2025,https://dx.doi.org/10.1080/23744235.2024.2427223
#4393,134,Waheed 2024,2024,https://dx.doi.org/10.1016/j.pediatrneurol.2024.09.025
#4427,135,Kjaer 2024,2024,https://dx.doi.org/10.1080/21645515.2024.2377903
#4027,136,Laake 2025,2025,https://dx.doi.org/10.1007/s10654-024-01197-3
#4535,137,Goodman 2024,2024,https://dx.doi.org/10.1007/s00404-024-07692-y
#3101,138,Seebauer 2025,2025,https://dx.doi.org/10.1016/j.phrs.2025.107851
#3963,139,Irzaldy 2025,2025,https://dx.doi.org/10.1016/j.lanepe.2024.101203
#3968,140,Jorgensen 2025,2025,https://dx.doi.org/10.3390/vaccines13010096
#4020,141,Wu 2025,2025,https://dx.doi.org/10.1016/j.lanepe.2024.101178
#4585,142,Bennis 2024,2024,https://dx.doi.org/10.3390/vaccines12101154
